2016/06/28 15:54:24 INFO  - jmeter.util.JMeterUtils: Setting Locale to es_BO 
2016/06/28 15:54:25 INFO  - jmeter.util.JMeterUtils: Could not find resources for 'es_BO', using 'es' 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: Loading user properties from: D:\PRUEVAS DE SOFTWARE\PRUEVAS DE CARGA Y RENDIMIENTO\JMETER\apache-jmeter-3.0\bin\user.properties 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: Loading system properties from: D:\PRUEVAS DE SOFTWARE\PRUEVAS DE CARGA Y RENDIMIENTO\JMETER\apache-jmeter-3.0\bin\system.properties 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: Version 3.0 r1743807 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: java.version=1.8.0_91 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: os.name=Windows 8.1 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: os.arch=amd64 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: os.version=6.3 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: Max memory     =523763712 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: Available Processors =4 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: Default Locale=español (Bolivia) 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: JMeter  Locale=español (Bolivia) 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: JMeterHome=D:\PRUEVAS DE SOFTWARE\PRUEVAS DE CARGA Y RENDIMIENTO\JMETER\apache-jmeter-3.0 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: user.dir  =D:\PRUEVAS DE SOFTWARE\PRUEVAS DE CARGA Y RENDIMIENTO\JMETER\apache-jmeter-3.0\bin 
2016/06/28 15:54:25 INFO  - jmeter.JMeter: PWD       =D:\PRUEVAS DE SOFTWARE\PRUEVAS DE CARGA Y RENDIMIENTO\JMETER\apache-jmeter-3.0\bin 
2016/06/28 15:54:30 INFO  - jmeter.JMeter: IP: 192.168.147.1 Name: Informatica FullName: Informatica 
2016/06/28 15:54:32 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2016/06/28 15:54:32 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2016/06/28 15:54:35 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2016/06/28 15:54:35 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2016/06/28 15:54:39 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2016/06/28 15:54:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/06/28 15:54:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/06/28 15:54:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/06/28 15:54:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/06/28 15:54:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2016/06/28 15:54:41 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2016/06/28 15:54:42 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'C:\Program Files\Java\jre1.8.0_91\bin\keytool' 
2016/06/28 15:54:42 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file D:\PRUEVAS DE SOFTWARE\PRUEVAS DE CARGA Y RENDIMIENTO\JMETER\apache-jmeter-3.0\bin\proxyserver.jks 
2016/06/28 15:54:43 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.config.MongoSourceElement 
2016/06/28 15:54:43 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.sampler.MongoScriptSampler 
2016/06/28 15:54:44 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.DistributionGraphVisualizer 
2016/06/28 15:54:44 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2016/06/28 15:54:44 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2016/06/28 15:54:44 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2016/06/28 15:54:44 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2016/06/28 15:54:44 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.SplineVisualizer 
